FW500-KOH6002,
X,Y
0.9827 , 255.1983
0.9725 , 250.6442
0.9622 , 246.3938
0.9493 , 241.5366
0.9342 , 237.2877
0.9169 , 233.6471
0.9018 , 231.2212
0.8883 , 227.5794
0.8732 , 224.8497
0.8603 , 223.6383
0.8430 , 222.4283
0.8225 , 220.6116
0.7999 , 219.4032
0.7691 , 218.5011
0.7395 , 218.2063
0.7006 , 217.0028
0.6489 , 216.4109
0.5992 , 215.8183
0.5507 , 214.6178
0.4995 , 214.0257
0.4498 , 213.4332
0.4002 , 212.5368
0.3511 , 211.6402
0.3010 , 211.0478
0.2487 , 210.1523
0.2012 , 208.3438
0.1802 , 208.3502
0.1607 , 207.7484
0.1219 , 205.9373
0.0992 , 204.7289
0.0814 , 202.6076
0.0615 , 200.4869
0.0307 , 194.7237
0.0108 , 183.4884
0.0049 , 177.1100
0.0011 , 167.9966
0.0011 , 159.4896
-0.0011 , 150.0719
0.0000 , 140.3493
0.0000 , 130.9309
-0.0011 , 120.2976
-0.0005 , 111.7905
-0.0011 , 100.2455
-0.0016 , 90.8273
-0.0011 , 79.8896
-0.0005 , 69.5596
-0.0005 , 60.4450
0.0000 , 49.2035
-0.0005 , 39.4815
-0.0005 , 30.0630
-0.0005 , 19.1255
-0.0011 , 10.0111
