FW400-KOH800,
X,Y
-0.0011 , 10.0279
-0.0011 , 20.3691
-0.0011 , 30.3969
-0.0011 , 40.7382
-0.0017 , 50.1393
-0.0017 , 60.4805
-0.0017 , 70.8217
-0.0017 , 80.5362
-0.0017 , 90.2507
-0.0017 , 99.6518
0.0011 , 109.3663
0.0044 , 117.2006
0.0072 , 124.0947
0.0117 , 130.3621
0.0306 , 145.7173
0.0640 , 161.6992
0.0773 , 167.6532
0.0984 , 174.8607
0.1185 , 180.8148
0.1390 , 185.8287
0.1585 , 190.2159
0.1796 , 194.2897
0.2013 , 197.7368
0.2503 , 204.0042
0.3042 , 209.3315
0.3537 , 212.7786
0.3999 , 215.2855
0.4494 , 217.4791
0.5006 , 220.2994
0.5501 , 222.1797
0.6001 , 224.3733
0.6502 , 227.1936
0.6991 , 230.3273
0.7397 , 233.4610
0.7703 , 236.2813
0.8003 , 240.3552
0.8204 , 243.4889
0.8393 , 247.8760
0.8604 , 252.8900
0.8749 , 258.2173
0.8904 , 264.4847
0.9038 , 271.6922
0.9143 , 278.2730
0.9232 , 286.7340
0.9321 , 295.5084
0.9399 , 302.7159
0.9472 , 309.6100
0.9533 , 316.8175
0.9600 , 323.3983
0.9666 , 329.0390
0.9727 , 335.3064
0.9794 , 340.6337
