FW400-KOH500,
X,Y
0.9855 , 186.4554
0.9755 , 180.5014
0.9655 , 173.6072
0.9566 , 168.5933
0.9444 , 165.4596
0.9321 , 162.0125
0.9188 , 157.9387
0.9066 , 155.1184
0.8921 , 153.8649
0.8765 , 151.9847
0.8615 , 150.7312
0.8415 , 149.4777
0.8209 , 148.5376
0.7987 , 146.9708
0.7697 , 146.3440
0.7392 , 144.4638
0.6997 , 143.8370
0.6496 , 142.5836
0.5996 , 141.3301
0.5489 , 140.7033
0.4994 , 140.3900
0.4505 , 140.0766
0.3999 , 139.4499
0.3493 , 137.8830
0.3009 , 137.5696
0.2492 , 136.3162
0.1997 , 135.6894
0.1802 , 134.4359
0.1591 , 133.4958
0.1413 , 133.4958
0.1190 , 131.9290
0.1001 , 130.9889
0.0790 , 129.4220
0.0634 , 128.1685
0.0306 , 124.4081
0.0139 , 119.0808
0.0067 , 112.8134
