FW500-KOH6001,
X,Y
0.0162 , 79.5805
0.0318 , 82.3102
0.0647 , 85.9460
0.0798 , 86.5490
0.0998 , 87.7583
0.1181 , 88.3603
0.1397 , 88.9614
0.1607 , 88.9550
0.1818 , 89.5563
0.1990 , 89.8548
0.2492 , 90.1434
0.2999 , 90.7357
0.3501 , 91.9357
0.3997 , 91.9206
0.4493 , 92.2094
0.4989 , 93.7134
0.5491 , 93.6981
0.5998 , 94.2904
0.6505 , 94.8826
0.6996 , 95.1715
0.7389 , 96.9825
0.7702 , 97.5806
0.7983 , 98.1797
0.8188 , 99.0850
0.8398 , 99.6862
0.8598 , 101.5031
0.8759 , 102.4096
0.8921 , 104.2276
0.9072 , 105.1345
0.9180 , 106.6503
0.9283 , 108.4701
0.9364 , 110.5944
0.9455 , 113.0221
0.9558 , 116.3610
0.9649 , 120.6117
0.9741 , 124.2548
0.9822 , 128.2020
