FW400-KOH700,
X,Y
0.9900 , 381.6852
0.9822 , 374.7911
0.9727 , 368.5237
0.9644 , 362.5696
0.9555 , 355.6755
0.9455 , 350.3482
0.9366 , 344.7075
0.9249 , 339.6936
0.9155 , 336.5599
0.9043 , 333.4262
0.8910 , 330.9192
0.8765 , 328.7256
0.8610 , 326.8454
0.8415 , 324.6518
0.8204 , 322.4582
0.7998 , 321.5181
0.7709 , 319.9513
0.7403 , 318.3844
0.7002 , 317.4443
0.6507 , 315.5641
0.6007 , 314.9373
0.5495 , 313.3705
0.4994 , 312.4304
0.4499 , 311.4903
0.3993 , 310.5501
0.3526 , 309.6100
0.3014 , 307.1031
0.2497 , 304.9095
0.2013 , 301.4624
0.1819 , 299.5822
0.1624 , 297.7019
0.1424 , 294.2549
0.1212 , 290.4944
0.1001 , 285.7939
0.0784 , 278.8997
0.0651 , 273.2591
0.0295 , 251.6365
0.0117 , 232.2075
0.0083 , 224.6866
0.0044 , 216.5390
0.0033 , 208.7047
0.0011 , 199.9304
0.0011 , 191.1560
0.0006 , 181.4415
-0.0000 , 171.1003
-0.0000 , 161.3858
-0.0011 , 151.0446
-0.0011 , 141.0167
-0.0017 , 131.6156
-0.0028 , 121.9011
-0.0022 , 110.9331
-0.0022 , 100.9053
-0.0017 , 90.8774
-0.0017 , 80.5362
-0.0022 , 71.1351
-0.0011 , 60.4805
-0.0017 , 50.4526
-0.0017 , 40.4248
-0.0011 , 30.0836
-0.0017 , 20.3691
-0.0017 , 10.0279
