FW400-KOH600,
X,Y
-0.0006 , 8.7744
-0.0011 , 18.1755
-0.0011 , 28.8301
-0.0011 , 39.1713
-0.0011 , 49.8259
-0.0011 , 58.9136
-0.0017 , 68.9415
-0.0011 , 79.9095
-0.0011 , 89.3106
0.0000 , 99.0251
0.0006 , 108.1128
-0.0006 , 119.3942
-0.0006 , 130.0487
-0.0011 , 140.3900
-0.0006 , 149.1643
0.0000 , 159.5056
0.0017 , 168.2799
0.0056 , 176.4276
0.0117 , 183.6351
0.0306 , 193.6630
0.0623 , 200.5571
0.0806 , 203.3774
0.1001 , 204.6309
0.1212 , 206.5111
0.1429 , 206.5111
0.1613 , 208.3914
0.1808 , 208.7047
0.1997 , 208.7047
0.2486 , 210.5850
0.2998 , 211.8384
0.3498 , 211.8384
0.3993 , 213.7187
0.4499 , 213.7187
0.5000 , 214.3454
0.5501 , 215.2855
0.5990 , 215.2855
0.6496 , 215.5989
0.6980 , 216.5390
0.7397 , 218.1058
0.7686 , 218.1058
0.7998 , 219.3593
0.8209 , 221.5529
0.8404 , 222.4930
0.8604 , 223.1198
0.8765 , 224.6866
0.8915 , 226.8802
0.9077 , 230.3273
0.9221 , 233.4610
0.9344 , 237.2214
0.9472 , 241.2953
0.9588 , 246.9359
0.9700 , 251.3231
0.9800 , 255.0836
