ACK-3-6,
X,Y
0.0271 , 290.6329
0.0054 , 262.2785
0.0009 , 203.0380
0.0009 , 134.1772
0.0009 , 66.8354
0.0606 , 302.7848
0.0958 , 308.8608
0.1329 , 313.4177
0.1718 , 316.4557
0.1817 , 316.9620
0.2116 , 317.9747
0.2414 , 318.9873
0.2495 , 320.0000
0.2884 , 321.0127
0.3038 , 322.0253
0.3273 , 322.5316
0.3680 , 323.5443
0.3752 , 323.5443
0.4213 , 325.0633
0.4331 , 325.5696
0.4702 , 327.0886
0.5000 , 327.5949
0.5172 , 328.1013
0.5687 , 329.1139
0.6103 , 331.1392
0.6365 , 332.1519
0.6591 , 332.6582
0.7061 , 334.6835
0.7514 , 335.6962
0.7749 , 336.7089
0.7984 , 337.7215
0.8436 , 340.2532
0.8906 , 342.2785
0.9367 , 346.3291
0.9810 , 350.3797
0.9946 , 352.9114
