ACK-3-8,
X,Y
0.1481 , 437.9433
0.1350 , 422.7305
0.1222 , 406.1348
0.1102 , 385.8511
0.1002 , 361.4184
0.0928 , 329.6099
0.0913 , 278.9007
0.0905 , 224.0426
0.0905 , 167.8014
0.0913 , 113.4043
0.0913 , 58.0851
0.1632 , 451.7730
0.1756 , 463.7589
0.1903 , 476.6667
0.2212 , 495.1064
0.2398 , 503.4043
0.2514 , 511.7021
0.2846 , 524.6099
0.3179 , 535.6738
0.3310 , 538.4397
0.3519 , 544.8936
0.3797 , 549.5035
0.4292 , 556.8794
0.4780 , 562.4113
0.5282 , 567.0213
0.5545 , 570.7092
0.5986 , 573.4752
0.6404 , 578.0851
0.6821 , 579.9291
0.7262 , 584.5390
0.7672 , 586.3830
0.8105 , 590.9929
0.8531 , 596.5248
0.8948 , 600.2128
0.9366 , 606.6667
0.9760 , 616.8085
0.9884 , 626.9504
