ACZ-1-6,
X,Y
0.1400 , 279.3270
0.1600 , 280.8598
0.1800 , 281.3139
0.2000 , 281.9760
0.2200 , 283.1059
0.2400 , 284.3109
0.2600 , 285.2627
0.2800 , 286.0642
0.3000 , 286.7370
0.3200 , 287.3187
0.3400 , 287.8545
0.3600 , 288.3920
0.3800 , 288.9682
0.4000 , 289.6526
0.4200 , 290.5311
0.4400 , 291.6959
0.4600 , 292.8883
0.4800 , 293.7570
0.5200 , 294.9191
0.5400 , 295.3135
0.5600 , 295.6663
0.6000 , 296.4062
0.6200 , 296.9449
0.6600 , 298.2008
0.6800 , 298.8363
0.7000 , 299.4290
0.7400 , 300.8296
0.7600 , 301.6204
0.8000 , 302.7858
0.8200 , 303.4808
0.8400 , 304.4834
0.8800 , 307.5608
0.1165 , 275.2294
0.0819 , 269.9869
0.0507 , 262.7785
0.0249 , 249.0170
0.0071 , 228.7025
0.0018 , 195.2818
-0.0018 , 158.5845
0.0000 , 117.9554
0.0000 , 77.3263
-0.0009 , 38.0079
0.9840 , 326.3434
0.9466 , 317.1691
0.9084 , 309.9607
0.8639 , 305.3735
0.7722 , 300.7864
0.7251 , 300.1311
0.6326 , 296.8545
0.5863 , 294.8886
0.4938 , 292.9227
