ACZ-3-6,
X,Y
0.9743 , 460.5343
0.9609 , 455.9529
0.9213 , 448.3239
0.8774 , 442.9897
0.8335 , 439.9488
0.7900 , 436.9078
0.7448 , 433.1029
0.7004 , 429.6800
0.6561 , 426.2571
0.6104 , 423.2168
0.5657 , 419.4119
0.5239 , 414.8413
0.4809 , 409.8890
0.4383 , 403.4077
0.3957 , 397.3087
0.3539 , 390.0626
0.3148 , 381.6690
0.2822 , 372.8906
0.2500 , 364.4943
0.2183 , 355.3334
0.1861 , 346.5548
0.1565 , 333.5710
0.1270 , 321.3516
0.0991 , 309.1315
0.0909 , 304.9304
0.0813 , 298.8187
0.0726 , 293.4710
0.0639 , 288.1234
0.0543 , 280.4829
0.0448 , 273.6068
0.0370 , 265.9656
0.0278 , 259.4715
0.0222 , 250.3006
0.0152 , 239.9836
0.0104 , 230.8124
0.0061 , 219.3478
0.0013 , 207.8833
-0.0013 , 194.8891
-0.0022 , 181.5121
-0.0013 , 170.0455
-0.0017 , 157.4327
-0.0013 , 142.9086
-0.0013 , 128.3846
-0.0013 , 116.1539
-0.0017 , 94.3681
-0.0017 , 81.7552
-0.0013 , 67.2310
-0.0017 , 38.9477
-0.0013 , 21.3659
