ACK-3-6,
X,Y
0.0897 , 71.9149
0.0889 , 23.9716
0.0897 , 150.2837
0.0889 , 196.3830
0.0928 , 239.7163
0.0982 , 251.7021
0.1067 , 261.8440
0.1183 , 268.2979
0.1261 , 271.9858
0.1338 , 276.5957
0.1415 , 279.3617
0.1485 , 281.2057
0.1562 , 283.0496
0.1663 , 284.8936
0.1748 , 286.7376
0.1825 , 287.6596
0.2150 , 292.2695
0.2405 , 294.1135
0.2514 , 294.1135
0.2838 , 295.9574
0.3202 , 298.7234
0.3550 , 300.5674
0.3906 , 301.4894
0.4339 , 303.3333
0.4764 , 305.1773
0.5197 , 307.9433
0.5615 , 307.9433
0.6056 , 308.8652
0.6481 , 310.7092
0.6899 , 312.5532
0.7316 , 315.3191
0.7749 , 317.1631
0.8167 , 319.0071
0.8585 , 321.7730
0.8995 , 325.4610
0.9420 , 329.1489
0.9799 , 341.1348
0.9907 , 349.4326
