ACK-3-7,
X,Y
0.1800 , 312.0291
0.2000 , 314.1842
0.2200 , 316.9772
0.2600 , 322.6746
0.2800 , 323.7198
0.3000 , 324.6070
0.3200 , 325.7092
0.3400 , 326.9000
0.3600 , 328.4983
0.3800 , 330.0849
0.4000 , 331.8049
0.4200 , 333.6566
0.4400 , 335.3830
0.4600 , 337.1730
0.5000 , 339.0365
0.5200 , 339.2269
0.5400 , 339.6249
0.5600 , 340.4524
0.7400 , 352.0339
0.7800 , 352.6271
0.8000 , 354.1440
0.8200 , 355.6148
0.8600 , 358.7593
0.1632 , 305.1773
0.1469 , 302.4113
0.1346 , 293.1915
0.1199 , 283.9716
0.1067 , 270.1418
0.0951 , 252.6241
0.0905 , 220.3546
0.0897 , 177.0213
0.0913 , 133.6879
0.0913 , 89.4326
0.0913 , 45.1773
0.9273 , 365.1064
0.8855 , 359.5745
0.8438 , 355.8865
0.7579 , 351.2766
0.7154 , 350.3546
0.6721 , 347.5887
0.6295 , 344.8227
0.5870 , 342.9787
0.2312 , 319.9291
0.9691 , 373.4043
0.9807 , 376.1702
0.9930 , 383.5461
