ACK-2-7,
X,Y
0.9956 , 590.4472
0.9856 , 587.3984
0.9717 , 585.3659
0.9564 , 582.3171
0.9179 , 578.2520
0.9064 , 577.2358
0.8757 , 575.2033
0.8334 , 572.1545
0.7911 , 568.0894
0.7496 , 566.0569
0.7058 , 561.9919
0.6643 , 557.9268
0.6220 , 556.9106
0.5805 , 553.8618
0.5375 , 550.8130
0.4944 , 549.7967
0.4522 , 545.7317
0.4107 , 543.6992
0.3653 , 536.5854
0.3338 , 534.5528
0.3092 , 530.4878
0.2992 , 528.4553
0.2623 , 516.2602
0.2370 , 510.1626
0.2063 , 496.9512
0.1763 , 479.6748
0.1510 , 457.3171
0.1264 , 428.8618
0.1057 , 390.2439
0.0934 , 335.3659
0.0912 , 256.0976
0.0905 , 169.7154
0.0905 , 169.7154
0.0906 , 85.3659
