ACZ-2-6,
X,Y
0.0231 , 231.9790
0.0044 , 203.1455
0.0009 , 154.6527
0.0000 , 100.9174
0.0498 , 249.0170
0.0792 , 262.1232
0.1121 , 273.2634
0.1459 , 281.1271
0.1779 , 288.9908
0.1877 , 292.2674
0.2144 , 295.5439
0.2500 , 302.0970
0.2847 , 307.9948
0.2963 , 308.6501
0.3203 , 313.2372
0.3479 , 315.8585
0.3639 , 319.1350
0.3986 , 325.0328
0.4075 , 326.3434
0.4520 , 332.2412
0.4938 , 337.4836
0.5383 , 343.3814
0.5383 , 343.3814
0.5383 , 343.3814
0.5819 , 347.9685
0.6263 , 354.5216
0.6699 , 358.4535
0.7153 , 364.3512
0.7598 , 368.2831
0.8034 , 372.8702
0.8496 , 376.8021
0.8932 , 380.0786
0.9324 , 390.5636
0.9724 , 401.7038
0.9840 , 406.2910
0.9947 , 414.8100
