ACK-0.5-6,
X,Y
0.1000 , 200.2253
0.1200 , 201.9309
0.1400 , 202.9698
0.1600 , 204.2200
0.1800 , 204.9242
0.2000 , 205.6995
0.2200 , 206.5211
0.2400 , 207.1638
0.2600 , 207.8964
0.2800 , 208.8959
0.3000 , 209.3546
0.3200 , 209.8389
0.3400 , 210.8158
0.3600 , 211.3010
0.3800 , 212.0748
0.5000 , 215.3005
0.5200 , 215.8458
0.5400 , 216.5556
0.5600 , 217.0144
0.5800 , 217.7110
0.6000 , 218.2181
0.6200 , 219.4230
0.6400 , 220.4106
0.6600 , 221.2576
0.6800 , 222.5921
0.7000 , 223.5000
0.7200 , 224.8638
0.7400 , 226.0272
0.7600 , 227.6140
0.7800 , 228.7008
0.8000 , 230.4928
0.8200 , 232.1148
0.8400 , 233.7643
0.8600 , 235.7231
0.8800 , 237.5842
0.9000 , 239.9546
0.9200 , 242.9100
0.9400 , 246.9545
0.9600 , 250.6382
0.9800 , 256.4077
0.0497 , 195.9494
0.0859 , 199.4937
0.0181 , 188.8608
0.0000 , 170.6329
-0.0009 , 136.7089
-0.0009 , 69.3671
0.0000 , 33.9241
0.4566 , 214.1772
0.4783 , 214.6835
0.4340 , 212.6582
0.4087 , 212.6582
