ACK-3-6,
X,Y
0.0600 , 301.0582
0.0800 , 306.4183
0.1000 , 309.1364
0.1200 , 311.5973
0.1400 , 313.2131
0.1600 , 314.6324
0.1800 , 316.0684
0.2000 , 316.9674
0.2200 , 317.5747
0.2400 , 318.5885
0.2600 , 319.5155
0.2800 , 320.0359
0.3000 , 320.8435
0.3200 , 321.5902
0.3400 , 322.1411
0.3600 , 322.7794
0.3800 , 323.2673
0.4000 , 323.9864
0.4200 , 325.2576
0.4400 , 325.6385
0.4600 , 325.7671
0.4800 , 326.1259
0.5000 , 326.8763
0.5200 , 327.6579
0.5400 , 328.1424
0.5600 , 328.9626
0.5800 , 329.8396
0.6000 , 330.5376
0.6200 , 330.6502
0.6400 , 330.7793
0.6600 , 331.7135
0.6800 , 332.8216
0.7000 , 333.4861
0.7200 , 334.2450
0.7400 , 334.9971
0.7600 , 335.4046
0.7800 , 336.0449
0.8000 , 337.3376
0.8200 , 338.8022
0.8400 , 339.6994
0.8600 , 340.3770
0.8800 , 341.5771
0.9000 , 343.5743
0.9200 , 345.2346
0.9400 , 346.5092
0.9600 , 348.5669
0.9800 , 350.6606
0.0271 , 290.6329
0.0054 , 262.2785
0.0009 , 203.0380
0.0009 , 134.1772
0.0009 , 66.8354
