ACK-2-6,
X,Y
0.1019 , 282.5203
0.0912 , 245.9350
0.0905 , 198.1707
0.0898 , 147.3577
0.0914 , 94.5122
0.1211 , 304.8780
0.1511 , 315.0407
0.1803 , 322.1545
0.2149 , 326.2195
0.2426 , 328.2520
0.2917 , 329.2683
0.3194 , 332.3171
0.3386 , 332.3171
0.3540 , 334.3496
0.3901 , 336.3821
0.4355 , 338.4146
0.4462 , 338.4146
0.4777 , 340.4472
0.4954 , 339.4309
0.5208 , 341.4634
0.5438 , 341.4634
0.5638 , 342.4797
0.5930 , 342.4797
0.6053 , 343.4959
0.6438 , 342.4797
0.6937 , 344.5122
0.7437 , 343.4959
0.7944 , 343.4959
0.8190 , 351.6260
0.8498 , 354.6748
0.9028 , 355.6911
0.9427 , 361.7886
0.9804 , 367.8862
