ACZ-2-6,
X,Y
0.0400 , 244.1611
0.0600 , 253.2418
0.0800 , 262.0439
0.1000 , 269.0711
0.1200 , 274.7338
0.1400 , 279.4154
0.1600 , 284.6403
0.1800 , 289.3565
0.2000 , 293.3192
0.2200 , 297.4776
0.2400 , 301.2085
0.2600 , 303.9919
0.2800 , 306.8650
0.3000 , 309.6776
0.3200 , 312.8840
0.3400 , 315.9801
0.3600 , 318.8808
0.3800 , 321.9921
0.4000 , 324.8839
0.4200 , 328.7753
0.4400 , 332.2212
0.4600 , 333.5020
0.4800 , 335.1533
0.5000 , 337.6843
0.5200 , 340.2257
0.5400 , 342.8132
0.5600 , 345.1231
0.5800 , 347.5480
0.6000 , 349.9656
0.6200 , 352.6685
0.6400 , 355.0253
0.6600 , 357.1556
0.6800 , 359.4219
0.7000 , 362.0214
0.7200 , 364.4759
0.7400 , 367.6398
0.7600 , 369.7345
0.7800 , 371.0645
0.8000 , 373.0092
0.8200 , 374.8083
0.8400 , 376.8691
0.8600 , 378.6529
0.8800 , 380.1804
0.9000 , 383.0884
0.9200 , 388.0965
0.9400 , 394.7285
0.9600 , 400.6706
0.9800 , 407.1443
0.0231 , 231.9790
0.0044 , 203.1455
0.0009 , 154.6527
0.0000 , 100.9174
