ACK-1-6,
X,Y
0.0045 , 155.4430
0.0000 , 105.3165
0.0018 , 53.6709
0.0154 , 191.8987
0.0452 , 210.6329
0.0787 , 218.7342
0.1157 , 222.7848
0.1528 , 225.8228
0.1863 , 227.3418
0.2387 , 228.3544
0.2929 , 229.3671
0.3472 , 230.3797
0.4123 , 236.4557
0.4033 , 235.9494
0.4494 , 236.9620
0.4647 , 238.4810
0.4973 , 238.9873
0.5181 , 240.5063
0.5425 , 240.5063
0.5723 , 241.0127
0.5895 , 242.0253
0.6356 , 244.5570
0.6835 , 246.0759
0.7297 , 248.1013
0.7767 , 249.6203
0.8228 , 252.1519
0.8689 , 254.6835
0.9132 , 258.7342
0.9566 , 265.3165
0.9693 , 268.3544
0.9819 , 272.9114
0.9946 , 277.9747
