ACZ-3-6,
X,Y
0.0200 , 227.7413
0.0400 , 282.2680
0.0600 , 299.5784
0.0800 , 315.3309
0.1000 , 327.1511
0.1200 , 338.4696
0.1400 , 348.5780
0.1600 , 356.4607
0.1800 , 363.9456
0.2000 , 372.5296
0.2200 , 379.7902
0.2400 , 386.1467
0.2600 , 392.6901
0.2800 , 397.8257
0.3000 , 402.9469
0.3200 , 407.6563
0.3400 , 411.7876
0.3600 , 415.7694
0.3800 , 419.4983
0.4000 , 423.2597
0.4200 , 427.0541
0.4400 , 431.2089
0.4600 , 433.3868
0.4800 , 434.5421
0.5000 , 437.2552
0.5200 , 440.0738
0.5400 , 442.0536
0.5600 , 444.1017
0.5800 , 446.1714
0.6000 , 448.0321
0.6200 , 449.8083
0.6400 , 451.5760
0.6600 , 452.9093
0.6800 , 454.4797
0.7000 , 455.8283
0.7200 , 457.1519
0.7400 , 458.7361
0.7600 , 460.1288
0.7800 , 461.5241
0.8000 , 463.1657
0.8200 , 464.9321
0.8400 , 466.5236
0.8600 , 468.1234
0.8800 , 469.9830
0.9000 , 473.1747
0.9200 , 475.9368
0.9400 , 477.8512
0.9600 , 481.1053
0.9800 , 486.8364
0.0311 , 272.6081
0.0142 , 245.0852
0.0062 , 213.6304
0.0018 , 173.0013
0.0027 , 131.7169
-0.0009 , 85.8453
0.0000 , 42.5950
