ACK-2-8,
X,Y
0.1702 , 464.4309
0.1563 , 451.2195
0.1425 , 433.9431
0.1302 , 419.7154
0.1180 , 402.4390
0.1072 , 380.0813
0.0980 , 353.6585
0.0919 , 320.1220
0.0904 , 268.2927
0.0905 , 214.4309
0.0905 , 161.5854
0.0914 , 106.7073
0.0906 , 52.8455
0.1840 , 478.6585
0.2132 , 503.0488
0.2416 , 525.4065
0.2708 , 544.7154
0.3023 , 561.9919
0.3315 , 582.3171
0.3637 , 596.5447
0.3768 , 601.6260
0.4029 , 605.6911
0.4421 , 616.8699
0.4836 , 632.1138
0.5243 , 639.2276
0.5658 , 645.3252
0.6066 , 649.3902
0.6481 , 656.5041
0.6911 , 659.5528
0.7318 , 664.6341
0.7741 , 667.6829
0.8156 , 674.7967
0.8571 , 680.8943
0.8971 , 685.9756
0.9386 , 694.1057
0.9785 , 704.2683
0.9885 , 711.3821
