ACK-2-6,
X,Y
0.0009 , 49.6203
-0.0009 , 100.2532
-0.0009 , 148.8608
0.0000 , 198.4810
0.0009 , 247.5949
0.0118 , 283.5443
0.0353 , 304.8101
0.0651 , 313.9241
0.1022 , 322.5316
0.1374 , 326.5823
0.1682 , 328.6076
0.1745 , 329.1139
0.2206 , 330.1266
0.2749 , 331.6456
0.3318 , 337.2152
0.3382 , 338.7342
0.3816 , 338.7342
0.3915 , 339.7468
0.4268 , 340.2532
0.4458 , 340.2532
0.4738 , 340.7595
0.4991 , 341.7722
0.5199 , 342.2785
0.5542 , 342.2785
0.6094 , 342.7848
0.6637 , 343.2911
0.7179 , 343.7975
0.7731 , 344.8101
0.8345 , 353.9241
0.8472 , 354.9367
0.8942 , 357.9747
0.9376 , 361.5190
0.9792 , 369.6203
0.9919 , 374.1772
