ACZ-3-8,
X,Y
0.9817 , 512.1298
0.9509 , 512.5238
0.8922 , 503.7554
0.8470 , 500.3328
0.8004 , 498.0573
0.7543 , 494.6351
0.7091 , 491.9769
0.6626 , 488.1726
0.6178 , 485.1320
0.5735 , 479.4158
0.5300 , 474.8459
0.5183 , 474.4682
0.4870 , 467.9826
0.4691 , 467.6072
0.4452 , 459.9721
0.4017 , 450.0513
0.3626 , 440.1288
0.3226 , 429.0600
0.2900 , 417.6062
0.2761 , 415.7004
0.2574 , 406.5345
0.2296 , 395.4611
0.1970 , 382.0962
0.1887 , 375.9840
0.1661 , 368.7307
0.1365 , 354.6002
0.1083 , 339.3226
0.0804 , 321.7516
0.0543 , 302.6511
0.0291 , 279.7281
0.0096 , 252.2165
0.0000 , 212.4703
-0.0009 , 159.7257
-0.0004 , 107.3628
0.0000 , 53.8532
