ACK-0.5-6,
X,Y
0.9928 , 262.2785
0.9828 , 256.7089
0.9458 , 248.1013
0.9042 , 241.0127
0.8626 , 236.4557
0.8192 , 232.9114
0.7749 , 229.3671
0.7315 , 225.8228
0.6863 , 223.2911
0.6410 , 220.7595
0.5949 , 218.7342
0.5488 , 216.7089
0.5018 , 215.1899
0.4557 , 213.6709
0.4096 , 212.6582
0.3626 , 211.6456
0.3454 , 211.1392
0.3146 , 209.6203
0.2920 , 209.1139
0.2758 , 208.6076
0.2369 , 207.5949
0.1980 , 206.0759
0.1844 , 205.0633
0.1600 , 204.5570
0.1239 , 202.5316
0.0859 , 200.0000
0.0497 , 195.4430
0.0181 , 188.8608
0.0000 , 170.6329
0.0000 , 136.2025
0.0000 , 68.8608
-0.0009 , 35.4430
