AC0520,262
AC1020,598.6
AC2020,1652
AC3020,1905
AC4020,2960
AC3020_f3,1905
AC3030_f3,2387
ACFC-1000,548
ACFC-700,340
ACFC-800,482
ACFC-900,576
A-2,1872
A-3,2746
Ab-2,1741
CS-1,2196
L-1,56
S-2,2331
M158H,618
CECA-CXV,1752
AX-21,3098
S1AC_700_stC,280
S1AC_800_stC,550
S1AC_900_stC,400
S2AC-700,490
S2AC-800,650
S2AC-900,480
S1AC-1h,550
S1AC-3h,680
S1AC-6h,530
S2AC-1h,650
S2AC-3h,790
S2AC-6h,780
15%,551
25%,805
40%,929
5%,434
54%,1228
58%,1247
9%,450
two-step-15%,
two-step-20%,
two-step-9%,
one-step-10%,
one-step-20%,
one-step-25%,
CA1,359.15
PFA2,447.45
PFA2-2,402.19
PFA5,512.2
Takeda5A,
carbon-M-0,
F300F850,
F850,
L275F850,
L285F850,
L300F850,
L400F850,
L850,
F300F850A4.7,
F850A4,1315.4
L275F850A3.2,1225.6
L285F850A3.7,1236.0
L300F850A4.2,1202.4
L400F850A4,1157.4
L850A4,1241.0
Conoco_pure-120min,
Conoco_pure-360min,
Conoco_pure-540min,2519
Conoco_Ag-120min,
Conoco_Ag-240min,
Conoco_Ag-360min,
Conoco_Ag-540min,2484
Korean_pure-120min,
Korean_pure-240min,
Korean_pure-360min,2597
Korean_Ag-120min,
Korean_Ag-240min,2801
Korean_Ag-30min,
Korean_Ag-60min,
D-1,589
N-1,558
N-2,548
N-3,469
N-8,663
S-2,452
T-1,354
series-VC5-C3-10%,
series-VC5-C3-12%,
series-VC5-C3-14%,
VC5-C2-10%,
VC5-C2-13%,
VC5-C2-15%,
VC5-C-13%,
VC5-C-14%,
VC5-C-16%,
VC5-C-9%,
VC5-C-VC5,
V-C'-12%,
V-C'-13%,
V-C'-14%,
V-C'-15%,
V-C'-9%,
VC5-H-10%,
VC5-H-13%,
VC5-H-15%,
VC5-H-17%,
VC5-H-7%,
V-H-11%,
V-H-14%,
V-H-9%,
APM-23,868
APM-41,1421
APM-55,1975
APM-77,2600
PM,299
1,524
2,860
3,938
4,858
5,1032
6,810
7,639
8,747
AC1,378
D-AC,607
W-AC,785
AC1,
D-AC,607
n_AC1,828
n_AC2,515
ADH,
HAS,
KUA31752,
KUA31752HT,
PR,
PVA,
TF,
WSC,
WSC10,
WSC15,
WSC15_crushed,
wsc20,
1-700_granular,960
1-700_powder,
one_stage-450stC,182
one_stage-500stC,388
one_stage-600stC,528
one_stage-700stC,508
two_stage-400stC,975
two_stage-450stC,1348
two_stage-500stC,1522
two_stage-600stC,1431
KOH-2-1,1090
KOH-4-1,1635
KOH-6-1,2225
KOH-8-1,2420
NaOH-2-1,1130
NaOH-4-1,2000
NaOH-5-1,
NaOH-6-1,2541
NaOH-8-1,3033
20%_burnoff,644
55%_burnoff,1528
94%_burnoff,2487
A1,
A2,957
A4,
A5,
ACF1,983
CVD1,622
CVD2,524
CVD21,682
ACF2,1895
CVD3,291
17%BO,662
48%BO,1128
5%BO,212
57%BO,1260
7%BO,384
0%BO,1.2
16%BO,291
26%BO,659
36%BO,802
53%BO,1035
74%BO,1545
BP18,697
BP31,924
BP46,1078
BP72,1632
BP8,306
BPQ,1074
1000stC,1212
800stC,
850stC,491
CNF-1,143
ACO5,751
ACOP1,691
ACP1,686
CAO,879
KUA11701,726
KUA21701-2,1784
KUA21701-200,1305
KUA21701-400,1580
KUA21701-80,945
KUA21701-800,2021
KUA21701a,1883
KUB41701,2123
ACF,2004
ACF-Py1023-60,996
ACF-Py1273-60,1343
almond_shells,998
apricot_stones,1190
carbon_A,1190
carbon_B,945
carbon_C,
ACF-15,1430
ACF-20,1960
ACF-7,780
ACF-PAN,690
S850,
S850-1273K,
S850-1473K,
