F1-76,
X,Y
0.9956 , 17.5287
0.9516 , 17.4656
0.9140 , 17.4151
0.8771 , 17.3901
0.8344 , 17.3779
0.7929 , 17.3402
0.7534 , 17.3280
0.7139 , 17.2903
0.6757 , 17.2653
0.6362 , 17.2276
0.5973 , 17.2281
0.5546 , 17.1649
0.5093 , 17.1527
0.4717 , 17.0768
0.4456 , 17.0516
0.4029 , 16.9758
0.3653 , 16.9508
0.3169 , 16.8367
0.2710 , 16.7099
0.2429 , 16.6084
0.2002 , 16.3924
0.1888 , 16.3161
0.1767 , 16.2270
0.1658 , 16.1125
0.1550 , 15.9980
0.1442 , 15.8963
0.1333 , 15.7435
0.1231 , 15.5908
0.1091 , 15.3744
0.0983 , 15.1580
0.0849 , 14.8779
0.0716 , 14.5596
0.0588 , 14.1649
0.0435 , 13.6300
0.0334 , 13.2098
0.0206 , 12.5220
0.0168 , 12.2291
0.0130 , 11.9744
0.0111 , 11.6941
0.0086 , 11.4139
0.0079 , 11.1082
0.0054 , 10.8280
0.0048 , 10.5732
0.0035 , 10.0509
