F1-8-32,
X,Y
0.9968 , 9.0135
0.9474 , 8.8998
0.9095 , 8.8479
0.8729 , 8.8476
0.8273 , 8.8471
0.7920 , 8.8262
0.7445 , 8.8257
0.7157 , 8.8254
0.6707 , 8.8043
0.6361 , 8.7937
0.5995 , 8.7727
0.5584 , 8.7723
0.5180 , 8.7616
0.4775 , 8.7509
0.4384 , 8.7505
0.3999 , 8.7295
0.3607 , 8.7188
0.3216 , 8.6876
0.2824 , 8.6666
0.2535 , 8.6663
0.2118 , 8.6247
0.2009 , 8.6143
0.1900 , 8.5936
0.1784 , 8.5935
0.1694 , 8.5728
0.1598 , 8.5624
0.1476 , 8.5417
0.1380 , 8.5313
0.1271 , 8.5003
0.1162 , 8.4797
0.1046 , 8.4590
0.0931 , 8.4177
0.0822 , 8.3867
0.0712 , 8.3248
0.0578 , 8.2630
0.0436 , 8.1188
0.0276 , 7.9231
0.0205 , 7.7687
0.0122 , 7.5114
0.0071 , 7.1615
0.0039 , 6.8528
0.0026 , 6.6367
0.0013 , 6.4309
0.0019 , 6.1119
0.0013 , 5.9061
0.0013 , 5.6695
