F2-48,
X,Y
0.9558 , 13.0128
0.9122 , 12.9639
0.8700 , 12.9953
0.8258 , 12.9786
0.7912 , 12.9941
0.7431 , 12.9933
0.7079 , 12.9607
0.6675 , 12.9761
0.6227 , 12.9432
0.5791 , 12.9265
0.5522 , 12.9261
0.5119 , 12.9254
0.4741 , 12.8767
0.4331 , 12.8439
0.3953 , 12.8273
0.3491 , 12.7944
0.3229 , 12.7619
0.2825 , 12.6971
0.2447 , 12.6163
0.2082 , 12.5194
0.1992 , 12.5032
0.1915 , 12.4549
0.1826 , 12.4067
0.1742 , 12.3744
0.1666 , 12.3262
0.1576 , 12.2618
0.1493 , 12.2136
0.1416 , 12.1653
0.1332 , 12.0849
0.1249 , 12.0046
0.1166 , 11.9242
0.1076 , 11.8759
0.0967 , 11.7474
0.0865 , 11.6028
0.0788 , 11.4743
0.0705 , 11.3458
0.0602 , 11.1691
0.0512 , 10.9925
0.0423 , 10.7356
0.0333 , 10.4627
0.0224 , 10.0613
0.0147 , 9.7403
0.0102 , 9.4353
0.0064 , 9.1625
