F1-37,
X,Y
0.9954 , 5.4778
0.9488 , 5.4401
0.9055 , 5.4280
0.8583 , 5.4031
0.8252 , 5.4035
0.7787 , 5.3914
0.7398 , 5.3791
0.7015 , 5.3669
0.6627 , 5.3801
0.6219 , 5.3679
0.5817 , 5.3556
0.5435 , 5.3689
0.5040 , 5.3566
0.4651 , 5.3571
0.4371 , 5.3575
0.3963 , 5.3580
0.3663 , 5.3711
0.3236 , 5.3717
0.2841 , 5.3594
0.2535 , 5.3598
0.2102 , 5.3604
0.1993 , 5.3605
0.1904 , 5.3734
0.1776 , 5.3608
0.1681 , 5.3482
0.1566 , 5.3483
0.1471 , 5.3484
0.1369 , 5.3358
0.1273 , 5.3360
0.1171 , 5.3361
0.1075 , 5.3235
0.0980 , 5.3109
0.0884 , 5.3110
0.0769 , 5.2984
0.0699 , 5.2730
0.0597 , 5.2349
0.0483 , 5.1841
0.0419 , 5.1460
0.0355 , 5.1206
0.0279 , 5.0570
0.0183 , 4.9679
0.0088 , 4.7897
0.0043 , 4.6241
0.0018 , 4.4586
0.0005 , 4.2930
-0.0001 , 4.1019
