F1-64,
X,Y
0.9975 , 17.4395
0.9516 , 17.3255
0.8898 , 17.2880
0.8631 , 17.2756
0.8165 , 17.2635
0.7726 , 17.2258
0.7432 , 17.2262
0.6993 , 17.1885
0.6495 , 17.1764
0.6234 , 17.1513
0.5807 , 17.1264
0.5546 , 17.1140
0.5144 , 17.0762
0.4705 , 17.0386
0.4443 , 17.0007
0.4004 , 16.9631
0.3621 , 16.8871
0.3162 , 16.7603
0.2895 , 16.6715
0.2487 , 16.4936
0.2098 , 16.2266
0.1990 , 16.1503
0.1901 , 16.0613
0.1799 , 15.9595
0.1709 , 15.8450
0.1595 , 15.7177
0.1486 , 15.5777
0.1385 , 15.4122
0.1263 , 15.2213
0.1168 , 15.0558
0.1034 , 14.7885
0.0907 , 14.5211
0.0773 , 14.1901
0.0639 , 13.8081
0.0512 , 13.4006
0.0366 , 12.8148
0.0219 , 11.9997
0.0181 , 11.7705
0.0149 , 11.4903
0.0105 , 11.1464
0.0086 , 10.8789
0.0060 , 10.4967
0.0041 , 10.2547
0.0022 , 9.9745
0.0016 , 9.7452
