F1N-36,
X,Y
0.9503 , 10.3195
0.9083 , 10.2818
0.8650 , 10.2441
0.8255 , 10.2191
0.7860 , 10.2196
0.7465 , 10.2073
0.7064 , 10.1951
0.6675 , 10.1828
0.6293 , 10.1578
0.5904 , 10.1455
0.5516 , 10.1588
0.5057 , 10.1211
0.4790 , 10.1214
0.4357 , 10.1092
0.4006 , 10.0969
0.3567 , 10.0720
0.3204 , 10.0724
0.2930 , 10.0473
0.2535 , 9.9968
0.2064 , 9.9463
0.1987 , 9.9464
0.1930 , 9.9338
0.1860 , 9.9339
0.1796 , 9.9212
0.1720 , 9.9085
0.1662 , 9.9086
0.1586 , 9.8959
0.1516 , 9.8833
0.1452 , 9.8706
0.1376 , 9.8579
0.1312 , 9.8453
0.1242 , 9.8326
0.1166 , 9.8072
0.1096 , 9.7818
0.1032 , 9.7691
0.0949 , 9.7309
0.0879 , 9.6800
0.0809 , 9.6418
0.0739 , 9.6036
0.0669 , 9.5527
0.0605 , 9.5018
0.0535 , 9.4381
0.0465 , 9.3744
0.0389 , 9.2852
0.0299 , 9.1068
0.0204 , 8.8900
0.0127 , 8.6350
0.0076 , 8.3545
0.0051 , 8.0484
