F1-0,
X,Y
0.9802 , 1.6945
0.9439 , 1.6950
0.9171 , 1.6698
0.8954 , 1.6701
0.8725 , 1.6832
0.8470 , 1.6453
0.8202 , 1.6456
0.7992 , 1.6586
0.7680 , 1.6463
0.7425 , 1.6339
0.7221 , 1.6341
0.6896 , 1.6473
0.6602 , 1.6476
0.6354 , 1.6225
0.6099 , 1.6228
0.5736 , 1.6360
0.5551 , 1.6235
0.5251 , 1.6239
0.4971 , 1.6370
0.4748 , 1.6245
0.4455 , 1.6249
0.4206 , 1.6252
0.3887 , 1.6256
0.3620 , 1.6260
0.3339 , 1.6136
0.3110 , 1.6139
0.2817 , 1.6142
0.2523 , 1.6146
0.2243 , 1.6022
0.2001 , 1.6025
0.1867 , 1.6027
0.1778 , 1.6028
0.1637 , 1.6030
0.1542 , 1.6031
0.1402 , 1.5906
0.1306 , 1.5907
0.1191 , 1.5908
0.1083 , 1.5782
0.0962 , 1.5657
0.0866 , 1.5530
0.0726 , 1.5532
0.0624 , 1.5406
0.0490 , 1.5153
0.0356 , 1.4900
0.0223 , 1.4519
0.0070 , 1.4012
