F1-53,
X,Y
0.9606 , 15.8222
0.9198 , 15.7845
0.8759 , 15.7723
0.8300 , 15.7474
0.7809 , 15.6971
0.7420 , 15.6721
0.7012 , 15.6471
0.6566 , 15.6222
0.6286 , 15.6098
0.5852 , 15.5849
0.5591 , 15.5598
0.5138 , 15.5221
0.4890 , 15.5097
0.4457 , 15.4720
0.4074 , 15.4343
0.3634 , 15.3712
0.3163 , 15.3081
0.2921 , 15.2574
0.2494 , 15.1815
0.2111 , 15.0419
0.1946 , 14.9402
0.1793 , 14.8767
0.1691 , 14.8004
0.1608 , 14.7623
0.1531 , 14.6987
0.1429 , 14.6224
0.1366 , 14.5588
0.1270 , 14.4570
0.1155 , 14.3170
0.1079 , 14.2279
0.0964 , 14.0625
0.0881 , 13.9352
0.0792 , 13.7824
0.0697 , 13.5915
0.0627 , 13.4260
0.0538 , 13.1713
0.0417 , 12.8275
0.0334 , 12.4582
0.0226 , 11.9870
0.0187 , 11.7322
