F2-26,
X,Y
0.9526 , 5.8401
0.9103 , 5.7592
0.8591 , 5.7423
0.8315 , 5.6777
0.7892 , 5.6770
0.7508 , 5.6443
0.7066 , 5.6436
0.6624 , 5.6268
0.6259 , 5.5781
0.5874 , 5.5775
0.5426 , 5.5607
0.5003 , 5.5279
0.4728 , 5.5114
0.4311 , 5.5268
0.3927 , 5.4941
0.3530 , 5.4935
0.3133 , 5.4768
0.2832 , 5.4603
0.2415 , 5.4275
0.2012 , 5.4108
0.1915 , 5.3946
0.1832 , 5.3945
0.1755 , 5.3943
0.1672 , 5.3942
0.1595 , 5.3941
0.1499 , 5.3939
0.1429 , 5.3778
0.1345 , 5.3616
0.1256 , 5.3614
0.1179 , 5.3613
0.1102 , 5.3452
0.1025 , 5.3450
0.0948 , 5.3289
0.0858 , 5.2966
0.0782 , 5.2965
0.0698 , 5.2643
0.0628 , 5.2321
0.0551 , 5.1999
0.0474 , 5.1516
0.0359 , 5.0872
0.0179 , 4.8623
0.0083 , 4.6856
0.0013 , 4.4127
-0.0000 , 4.1078
-0.0006 , 3.8029
-0.0006 , 3.5141
-0.0006 , 3.2092
