F1N-40,
X,Y
0.9599 , 10.5235
0.9172 , 10.5113
0.8701 , 10.5119
0.8408 , 10.4612
0.7866 , 10.4747
0.7573 , 10.4750
0.7140 , 10.4756
0.6752 , 10.4761
0.6306 , 10.4511
0.5943 , 10.4516
0.5675 , 10.4519
0.5274 , 10.4525
0.4892 , 10.4529
0.4510 , 10.4279
0.4134 , 10.4156
0.3682 , 10.3907
0.3287 , 10.3785
0.2885 , 10.3407
0.2497 , 10.3029
0.2051 , 10.2525
0.1930 , 10.2271
0.1796 , 10.2018
0.1688 , 10.1637
0.1573 , 10.1255
0.1490 , 10.1129
0.1382 , 10.0748
0.1306 , 10.0494
0.1217 , 10.0240
0.1127 , 9.9475
0.1045 , 9.9094
0.0955 , 9.8330
0.0854 , 9.7693
0.0764 , 9.6801
0.0669 , 9.6037
0.0599 , 9.5145
0.0522 , 9.4126
0.0459 , 9.3106
0.0382 , 9.1832
0.0287 , 8.9282
0.0166 , 8.5457
0.0115 , 8.3034
0.0057 , 7.9464
0.0025 , 7.4745
0.0019 , 7.1939
