F2-12,
X,Y
0.9949 , 4.3324
0.9571 , 4.2034
0.9110 , 4.1866
0.8719 , 4.1700
0.8302 , 4.1372
0.7854 , 4.1365
0.7418 , 4.1518
0.7053 , 4.1031
0.6662 , 4.1185
0.6214 , 4.1018
0.5849 , 4.0691
0.5458 , 4.0524
0.5080 , 4.0358
0.4696 , 4.0191
0.4305 , 4.0185
0.3933 , 4.0179
0.3555 , 3.9852
0.3184 , 4.0006
0.2825 , 3.9519
0.2402 , 3.9352
0.2005 , 3.9185
0.1903 , 3.9023
0.1807 , 3.9021
0.1717 , 3.8859
0.1640 , 3.8858
0.1557 , 3.8696
0.1473 , 3.8695
0.1384 , 3.8373
0.1300 , 3.8371
0.1224 , 3.8049
0.1153 , 3.8048
0.1063 , 3.7726
0.0987 , 3.7404
0.0903 , 3.7242
0.0820 , 3.7240
0.0737 , 3.7239
0.0647 , 3.6756
0.0570 , 3.6434
0.0442 , 3.6111
0.0365 , 3.4826
0.0269 , 3.4022
0.0147 , 3.2737
0.0045 , 3.0489
