F1N-51,
X,Y
0.9637 , 17.0285
0.9433 , 17.0288
0.9019 , 17.0293
0.8694 , 17.0297
0.8299 , 17.0302
0.8121 , 17.0305
0.7783 , 17.0436
0.7503 , 17.0440
0.7166 , 17.0062
0.6764 , 17.0067
0.6503 , 16.9687
0.6127 , 16.9820
0.5822 , 16.9441
0.5510 , 16.9317
0.5210 , 16.8939
0.4879 , 16.8815
0.4567 , 16.8437
0.4274 , 16.8313
0.3943 , 16.8062
0.3656 , 16.7811
0.3306 , 16.7432
0.2994 , 16.6543
0.2688 , 16.5782
0.2338 , 16.4511
0.2000 , 16.2474
0.1917 , 16.1838
0.1809 , 16.0946
0.1726 , 16.0182
0.1573 , 15.8781
0.1465 , 15.7507
0.1363 , 15.6360
0.1268 , 15.4958
0.1134 , 15.2792
0.1019 , 15.1007
0.0892 , 14.8203
0.0764 , 14.4888
0.0618 , 14.0936
0.0503 , 13.7111
0.0350 , 13.1118
0.0197 , 12.2702
0.0166 , 12.0278
0.0127 , 11.7600
0.0102 , 11.5050
0.0083 , 11.2499
0.0057 , 10.9821
0.0038 , 10.7142
0.0032 , 10.4464
0.0025 , 10.1275
0.0013 , 9.8979
0.0000 , 9.5918
0.0013 , 9.3112
0.0000 , 9.0051
0.0006 , 8.7117
-0.0006 , 8.4184
-0.0013 , 8.1123
-0.0006 , 7.5128
-0.0006 , 7.2194
-0.0006 , 6.9133
-0.0006 , 5.9949
-0.0000 , 5.7398
-0.0006 , 5.1276
