F1-23,
X,Y
0.9323 , 4.7779
0.9011 , 4.7783
0.8698 , 4.7278
0.8373 , 4.7154
0.8061 , 4.7031
0.7717 , 4.6781
0.7424 , 4.6530
0.7079 , 4.6024
0.6780 , 4.6156
0.6417 , 4.6033
0.6092 , 4.5655
0.5735 , 4.5787
0.5492 , 4.5663
0.5148 , 4.5667
0.4925 , 4.5415
0.4600 , 4.5546
0.4282 , 4.5296
0.3988 , 4.5300
0.3644 , 4.5177
0.3345 , 4.5053
0.3026 , 4.5057
0.2688 , 4.4934
0.2376 , 4.4810
0.2057 , 4.4560
0.1993 , 4.4815
0.1936 , 4.4689
0.1879 , 4.4689
0.1796 , 4.4690
0.1707 , 4.4692
0.1649 , 4.4692
0.1573 , 4.4566
0.1484 , 4.4567
0.1420 , 4.4568
0.1350 , 4.4441
0.1267 , 4.4442
0.1197 , 4.4316
0.1133 , 4.4189
0.1057 , 4.4318
0.0999 , 4.4318
0.0935 , 4.4192
0.0878 , 4.4065
0.0827 , 4.4066
0.0776 , 4.3939
0.0719 , 4.3812
0.0655 , 4.3559
0.0559 , 4.3305
0.0489 , 4.3051
0.0419 , 4.2797
0.0324 , 4.2416
0.0203 , 4.1526
0.0120 , 4.0508
0.0043 , 3.8471
