F2-66,
X,Y
0.9942 , 12.9652
0.9532 , 12.8683
0.9045 , 12.8354
0.8603 , 12.8026
0.8290 , 12.8021
0.7828 , 12.7693
0.7546 , 12.7688
0.7104 , 12.7521
0.6752 , 12.7515
0.6310 , 12.7187
0.5951 , 12.6861
0.5496 , 12.6532
0.5119 , 12.6366
0.4683 , 12.5877
0.4407 , 12.5392
0.3997 , 12.5225
0.3587 , 12.4897
0.3209 , 12.4249
0.2825 , 12.3601
0.2505 , 12.2954
0.2095 , 12.1664
0.1986 , 12.1341
0.1896 , 12.0858
0.1813 , 12.0376
0.1742 , 12.0054
0.1659 , 11.9571
0.1589 , 11.9249
0.1505 , 11.8766
0.1435 , 11.8123
0.1358 , 11.7641
0.1281 , 11.7158
0.1185 , 11.6354
0.1095 , 11.5390
0.0955 , 11.4264
0.0884 , 11.2980
0.0794 , 11.1694
0.0711 , 11.0409
0.0615 , 10.8803
0.0525 , 10.7037
0.0442 , 10.5110
0.0333 , 10.1899
0.0218 , 9.8046
0.0167 , 9.5157
0.0128 , 9.2749
0.0083 , 8.9058
0.0051 , 8.6169
0.0038 , 8.2799
0.0006 , 7.8787
0.0013 , 7.5738
0.0006 , 7.2850
0.0000 , 6.9480
0.0000 , 6.4506
0.0000 , 6.1617
0.0000 , 5.9050
-0.0006 , 5.4236
0.0000 , 5.1508
-0.0006 , 4.8459
