F1N-61,
X,Y
0.9924 , 15.7399
0.9510 , 15.5619
0.9127 , 15.5241
0.8713 , 15.5246
0.8274 , 15.4997
0.7828 , 15.5002
0.7478 , 15.4752
0.7089 , 15.4374
0.6720 , 15.4123
0.6261 , 15.3874
0.5968 , 15.3623
0.5535 , 15.3246
0.5178 , 15.2740
0.4796 , 15.2490
0.4357 , 15.1985
0.4083 , 15.1479
0.3682 , 15.0718
0.3274 , 14.9831
0.2873 , 14.8688
0.2471 , 14.7035
0.2083 , 14.4744
0.1987 , 14.4107
0.1930 , 14.3598
0.1860 , 14.3089
0.1796 , 14.2579
0.1732 , 14.1942
0.1662 , 14.1305
0.1586 , 14.0541
0.1535 , 14.0031
0.1471 , 13.9267
0.1395 , 13.8248
0.1325 , 13.7356
0.1261 , 13.6336
0.1185 , 13.5317
0.1108 , 13.4170
0.1038 , 13.3022
0.0975 , 13.1620
0.0898 , 13.0346
0.0828 , 12.8688
0.0758 , 12.7159
0.0694 , 12.5374
0.0624 , 12.3589
0.0554 , 12.1677
0.0471 , 11.8872
0.0401 , 11.6449
0.0318 , 11.3006
0.0229 , 10.8671
0.0185 , 10.6375
0.0127 , 10.2167
0.0096 , 9.9361
0.0070 , 9.5917
0.0038 , 9.1964
0.0025 , 8.8903
