F2-30,
X,Y
0.9942 , 7.2207
0.9571 , 7.1238
0.9154 , 7.1071
0.8706 , 7.0903
0.8334 , 7.0737
0.7937 , 7.0731
0.7553 , 7.0564
0.7175 , 7.0558
0.6797 , 7.0231
0.6413 , 7.0225
0.6067 , 6.9898
0.5618 , 6.9891
0.5272 , 6.9565
0.4856 , 6.9558
0.4459 , 6.9552
0.4074 , 6.9545
0.3684 , 6.9218
0.3293 , 6.9212
0.2915 , 6.8725
0.2537 , 6.8558
0.2069 , 6.8069
0.1992 , 6.7907
0.1935 , 6.7907
0.1871 , 6.7745
0.1807 , 6.7744
0.1730 , 6.7582
0.1666 , 6.7581
0.1595 , 6.7580
0.1518 , 6.7258
0.1461 , 6.7257
0.1390 , 6.6935
0.1326 , 6.6774
0.1249 , 6.6612
0.1185 , 6.6611
0.1108 , 6.6449
0.1044 , 6.6448
0.0974 , 6.6126
0.0903 , 6.5964
0.0833 , 6.5642
0.0756 , 6.5320
0.0692 , 6.4838
0.0621 , 6.4355
0.0564 , 6.4194
0.0493 , 6.3551
0.0429 , 6.3069
0.0365 , 6.2426
0.0269 , 6.1140
0.0128 , 5.8250
0.0070 , 5.6323
0.0026 , 5.3595
