F1N-25,
X,Y
0.9924 , 8.0103
0.9618 , 7.9214
0.9153 , 7.9475
0.8771 , 7.8842
0.8369 , 7.9102
0.7987 , 7.8980
0.7586 , 7.8985
0.7197 , 7.8990
0.6809 , 7.8995
0.6446 , 7.8872
0.6013 , 7.9005
0.5599 , 7.8500
0.5204 , 7.8633
0.4809 , 7.8510
0.4427 , 7.8260
0.4051 , 7.8265
0.3682 , 7.7759
0.3338 , 7.7508
0.2936 , 7.7514
0.2561 , 7.7008
0.2121 , 7.6504
0.1987 , 7.6378
0.1898 , 7.6251
0.1803 , 7.5997
0.1720 , 7.5871
0.1637 , 7.5617
0.1548 , 7.5490
0.1452 , 7.5237
0.1382 , 7.5110
0.1299 , 7.4856
0.1217 , 7.4729
0.1140 , 7.4475
0.1057 , 7.4221
0.0975 , 7.3967
0.0898 , 7.3713
0.0809 , 7.3332
0.0739 , 7.2822
0.0643 , 7.2441
0.0541 , 7.1677
0.0439 , 7.0658
0.0331 , 6.9511
0.0223 , 6.7854
0.0134 , 6.5560
0.0070 , 6.3392
0.0038 , 6.0204
