F1-8-22,
X,Y
0.9705 , 7.4286
0.9236 , 7.4282
0.8813 , 7.3968
0.8357 , 7.4067
0.8049 , 7.3961
0.7734 , 7.3957
0.7388 , 7.3851
0.7182 , 7.3952
0.6861 , 7.3743
0.6553 , 7.3739
0.6226 , 7.3530
0.5918 , 7.3630
0.5533 , 7.3523
0.5321 , 7.3109
0.5000 , 7.3209
0.4698 , 7.3103
0.4371 , 7.2894
0.4063 , 7.2891
0.3755 , 7.2888
0.3389 , 7.2781
0.3113 , 7.2572
0.2805 , 7.2363
0.2478 , 7.2257
0.2125 , 7.1945
0.2003 , 7.1943
0.1906 , 7.1840
0.1784 , 7.1735
0.1694 , 7.1632
0.1598 , 7.1425
0.1463 , 7.1321
0.1361 , 7.1217
0.1258 , 7.1010
0.1142 , 7.0700
0.1033 , 7.0493
0.0924 , 7.0389
0.0802 , 7.0182
0.0687 , 6.9563
0.0571 , 6.9151
0.0449 , 6.8532
0.0308 , 6.7502
0.0154 , 6.5339
0.0096 , 6.3589
