F1-40,
X,Y
0.9985 , 7.7962
0.9347 , 7.7206
0.9086 , 7.6700
0.8621 , 7.6451
0.8219 , 7.6328
0.7754 , 7.6462
0.7346 , 7.6085
0.7053 , 7.6216
0.6632 , 7.5966
0.6224 , 7.5717
0.5848 , 7.5340
0.5460 , 7.5472
0.5090 , 7.5222
0.4708 , 7.5099
0.4332 , 7.5104
0.3930 , 7.4982
0.3560 , 7.4859
0.3172 , 7.4355
0.2783 , 7.4359
0.2394 , 7.3982
0.2012 , 7.3860
0.1891 , 7.3606
0.1814 , 7.3607
0.1731 , 7.3609
0.1648 , 7.3610
0.1566 , 7.3356
0.1489 , 7.3357
0.1393 , 7.3231
0.1323 , 7.3104
0.1247 , 7.2978
0.1164 , 7.2851
0.1081 , 7.2725
0.1005 , 7.2599
0.0903 , 7.2218
0.0833 , 7.2091
0.0731 , 7.1710
0.0641 , 7.1329
0.0552 , 7.0948
0.0457 , 7.0185
0.0355 , 6.9295
0.0240 , 6.7640
0.0157 , 6.6367
0.0119 , 6.5094
0.0074 , 6.3184
0.0055 , 6.1401
0.0030 , 6.0000
0.0017 , 5.8471
