F1-8-10,
X,Y
0.9602 , 4.7018
0.9089 , 4.7013
0.8761 , 4.7010
0.8280 , 4.6902
0.7914 , 4.6795
0.7458 , 4.6688
0.7086 , 4.6787
0.6694 , 4.6680
0.6245 , 4.6675
0.5873 , 4.6568
0.5481 , 4.6564
0.5205 , 4.6562
0.4801 , 4.6557
0.4416 , 4.6553
0.4031 , 4.6447
0.3652 , 4.6443
0.3280 , 4.6336
0.2908 , 4.6126
0.2484 , 4.6122
0.2086 , 4.5912
0.2009 , 4.5911
0.1938 , 4.5808
0.1861 , 4.5807
0.1752 , 4.5806
0.1662 , 4.5702
0.1598 , 4.5598
0.1534 , 4.5598
0.1457 , 4.5494
0.1386 , 4.5390
0.1309 , 4.5287
0.1232 , 4.5080
0.1168 , 4.5080
0.1098 , 4.4976
0.1021 , 4.4872
0.0950 , 4.4666
0.0879 , 4.4562
0.0815 , 4.4459
0.0751 , 4.4252
0.0668 , 4.4045
0.0597 , 4.3839
0.0533 , 4.3427
0.0462 , 4.3117
0.0404 , 4.2911
0.0327 , 4.2396
0.0231 , 4.1777
0.0090 , 4.0027
0.0051 , 3.8380
