F2-41,
X,Y
0.9628 , 9.2741
0.9180 , 9.2573
0.8840 , 9.3049
0.8398 , 9.2721
0.8040 , 9.2555
0.7681 , 9.2229
0.7220 , 9.2221
0.6874 , 9.1895
0.6381 , 9.2047
0.6067 , 9.1882
0.5554 , 9.1873
0.5234 , 9.1868
0.4779 , 9.2021
0.4395 , 9.1855
0.3991 , 9.1688
0.3626 , 9.1522
0.3248 , 9.1195
0.2883 , 9.0868
0.2434 , 9.0700
0.2018 , 9.0052
0.1903 , 9.0050
0.1800 , 8.9888
0.1710 , 8.9726
0.1640 , 8.9404
0.1550 , 8.9242
0.1454 , 8.8919
0.1371 , 8.8758
0.1300 , 8.8596
0.1224 , 8.7953
0.1147 , 8.7952
0.1057 , 8.7469
0.0974 , 8.7307
0.0890 , 8.6824
0.0820 , 8.6181
0.0737 , 8.5699
0.0653 , 8.5216
0.0557 , 8.4252
0.0468 , 8.2966
0.0378 , 8.1842
0.0269 , 7.9914
0.0167 , 7.6864
0.0096 , 7.4456
0.0051 , 6.9962
0.0013 , 6.6592
0.0006 , 6.3383
-0.0006 , 5.8569
