F1-90,
X,Y
0.9995 , 15.9491
0.9498 , 15.8350
0.9115 , 15.8100
0.8637 , 15.7979
0.8134 , 15.7603
0.7847 , 15.7352
0.7395 , 15.6848
0.7108 , 15.6597
0.6681 , 15.6348
0.6196 , 15.5972
0.5935 , 15.6103
0.5502 , 15.5344
0.5247 , 15.5220
0.4833 , 15.4843
0.4367 , 15.4212
0.4030 , 15.3834
0.3749 , 15.3328
0.3322 , 15.2442
0.2863 , 15.1428
0.2576 , 15.0286
0.2150 , 14.7998
0.1990 , 14.6726
0.1888 , 14.5708
0.1774 , 14.4691
0.1678 , 14.3800
0.1557 , 14.2401
0.1423 , 14.0619
0.1321 , 13.8964
0.1181 , 13.6673
0.1041 , 13.3872
0.0952 , 13.1835
0.0837 , 12.8652
0.0691 , 12.4832
0.0576 , 12.0884
0.0487 , 11.7573
0.0353 , 11.1588
0.0207 , 10.3437
0.0169 , 10.0125
0.0150 , 9.7960
0.0118 , 9.4393
0.0086 , 9.1846
0.0086 , 8.9680
0.0067 , 8.7388
0.0055 , 8.3694
