F1-8-77,
X,Y
0.9506 , 10.3403
0.8883 , 10.3294
0.8318 , 10.3185
0.7689 , 10.2767
0.7099 , 10.2761
0.6656 , 10.2654
0.5995 , 10.2235
0.5616 , 10.1923
0.4955 , 10.1710
0.4442 , 10.1396
0.3864 , 10.0979
0.3460 , 10.0563
0.2863 , 9.9631
0.2208 , 9.8183
0.2080 , 9.7668
0.1970 , 9.7358
0.1849 , 9.6945
0.1746 , 9.6224
0.1624 , 9.5605
0.1457 , 9.4677
0.1354 , 9.3647
0.1232 , 9.2926
0.1117 , 9.1587
0.1001 , 9.0351
0.0860 , 8.8600
0.0712 , 8.6541
0.0565 , 8.3967
0.0404 , 8.0261
0.0250 , 7.5630
0.0193 , 7.3571
0.0154 , 7.1924
0.0109 , 6.9249
0.0083 , 6.7499
0.0077 , 6.5544
0.0039 , 6.2457
0.0039 , 6.0296
0.0026 , 5.8032
