F1-8-52,
X,Y
0.9820 , 13.4378
0.9320 , 13.4064
0.8870 , 13.3956
0.8434 , 13.3540
0.7978 , 13.3433
0.7510 , 13.3119
0.7086 , 13.2909
0.6752 , 13.2803
0.6297 , 13.2592
0.5905 , 13.2382
0.5488 , 13.2172
0.5019 , 13.1962
0.4615 , 13.1546
0.4198 , 13.1233
0.3877 , 13.1127
0.3415 , 13.0505
0.3126 , 13.0090
0.2696 , 12.9571
0.2285 , 12.8847
0.2150 , 12.8537
0.2067 , 12.8330
0.1938 , 12.7814
0.1836 , 12.7607
0.1701 , 12.7091
0.1566 , 12.6576
0.1451 , 12.5854
0.1329 , 12.5236
0.1207 , 12.4514
0.1085 , 12.3381
0.0969 , 12.2454
0.0841 , 12.0909
0.0725 , 11.9261
0.0591 , 11.7099
0.0443 , 11.3908
0.0282 , 10.8865
0.0212 , 10.5983
0.0148 , 10.2484
0.0109 , 9.9705
0.0071 , 9.4663
0.0051 , 9.1165
0.0032 , 8.7049
0.0026 , 8.3550
0.0013 , 7.7582
0.0006 , 7.3569
