F1-14,
X,Y
0.9915 , 5.1593
0.9495 , 4.9561
0.9100 , 4.9311
0.8736 , 4.9315
0.8284 , 4.9066
0.7914 , 4.9071
0.7500 , 4.9076
0.7099 , 4.8827
0.6665 , 4.8832
0.6397 , 4.8708
0.5977 , 4.8714
0.5575 , 4.8591
0.5212 , 4.8469
0.4772 , 4.8347
0.4409 , 4.8351
0.4052 , 4.8101
0.3670 , 4.8106
0.3294 , 4.8111
0.2924 , 4.7861
0.2554 , 4.7738
0.2051 , 4.7490
0.2000 , 4.7490
0.1936 , 4.7364
0.1834 , 4.7365
0.1770 , 4.7239
0.1700 , 4.7112
0.1624 , 4.7113
0.1541 , 4.7114
0.1471 , 4.7115
0.1401 , 4.6989
0.1337 , 4.6862
0.1254 , 4.6863
0.1095 , 4.6610
0.1018 , 4.6484
0.0929 , 4.6230
0.0859 , 4.6104
0.0770 , 4.5850
0.0700 , 4.5724
0.0547 , 4.5216
0.0477 , 4.4835
0.0375 , 4.4454
0.0183 , 4.2673
