F1-8-50,
X,Y
0.9557 , 11.5237
0.9127 , 11.5129
0.8697 , 11.4610
0.8306 , 11.4606
0.7908 , 11.4499
0.7522 , 11.4393
0.7137 , 11.4080
0.6746 , 11.3973
0.6367 , 11.3866
0.5963 , 11.3862
0.5571 , 11.3652
0.5205 , 11.3340
0.4820 , 11.3233
0.4442 , 11.3126
0.4056 , 11.2813
0.3620 , 11.2603
0.3261 , 11.2394
0.2843 , 11.2081
0.2426 , 11.1562
0.2009 , 11.1043
0.1893 , 11.0836
0.1804 , 11.0629
0.1682 , 11.0320
0.1585 , 11.0216
0.1496 , 10.9906
0.1367 , 10.9596
0.1245 , 10.9183
0.1136 , 10.8771
0.1014 , 10.8255
0.0911 , 10.7533
0.0796 , 10.6709
0.0674 , 10.5885
0.0552 , 10.4546
0.0392 , 10.2075
0.0218 , 9.7957
0.0160 , 9.5384
0.0109 , 9.3017
0.0064 , 8.8798
0.0045 , 8.5814
0.0032 , 8.2727
0.0013 , 7.7685
0.0006 , 7.4289
0.0006 , 7.0585
