F1-8-11,
X,Y
0.9942 , 5.5871
0.9480 , 5.5557
0.9063 , 5.5450
0.8614 , 5.5343
0.8158 , 5.5029
0.7895 , 5.5027
0.7471 , 5.4919
0.7080 , 5.4915
0.6688 , 5.4603
0.6284 , 5.4701
0.5905 , 5.4595
0.5539 , 5.4385
0.5083 , 5.4277
0.4743 , 5.4171
0.4326 , 5.4270
0.3922 , 5.4163
0.3537 , 5.4261
0.3267 , 5.4156
0.2863 , 5.4152
0.2587 , 5.4046
0.2182 , 5.4042
0.1996 , 5.4040
0.1849 , 5.3935
0.1688 , 5.3831
0.1553 , 5.3727
0.1393 , 5.3622
0.1232 , 5.3620
0.1142 , 5.3619
0.1059 , 5.3516
0.0982 , 5.3309
0.0905 , 5.3205
0.0828 , 5.3102
0.0745 , 5.3101
0.0668 , 5.2791
0.0591 , 5.2585
0.0507 , 5.2378
0.0424 , 5.2172
0.0205 , 5.0935
0.0096 , 4.9699
