F1-8-0,
X,Y
0.9788 , 1.6975
0.9442 , 1.7075
0.9166 , 1.6763
0.8941 , 1.6761
0.8736 , 1.6759
0.8472 , 1.6550
0.8216 , 1.6650
0.7997 , 1.6751
0.7677 , 1.6542
0.7426 , 1.6437
0.7221 , 1.6434
0.6913 , 1.6534
0.6617 , 1.6634
0.6354 , 1.6323
0.6104 , 1.6320
0.5738 , 1.6419
0.5552 , 1.6314
0.5250 , 1.6311
0.4974 , 1.6411
0.4743 , 1.6409
0.4454 , 1.6303
0.4204 , 1.6403
0.3890 , 1.6297
0.3633 , 1.6192
0.3350 , 1.6292
0.3107 , 1.6186
0.2811 , 1.6183
0.2535 , 1.6180
0.2259 , 1.6178
0.2003 , 1.6072
0.1874 , 1.6071
0.1784 , 1.5967
0.1643 , 1.6068
0.1540 , 1.6067
0.1412 , 1.6066
0.1303 , 1.5756
0.1207 , 1.5549
0.1091 , 1.5651
0.0969 , 1.5650
0.0866 , 1.5443
0.0725 , 1.5442
0.0629 , 1.5338
0.0501 , 1.5028
0.0366 , 1.4820
0.0237 , 1.4408
0.0096 , 1.4097
