F1N-85,
X,Y
0.9936 , 17.7424
0.9592 , 17.6663
0.9096 , 17.6287
0.8739 , 17.5781
0.8287 , 17.5660
0.7834 , 17.5410
0.7439 , 17.4778
0.7045 , 17.4527
0.6656 , 17.4150
0.6261 , 17.3645
0.5873 , 17.3267
0.5586 , 17.3015
0.5159 , 17.2383
0.4739 , 17.1878
0.4274 , 17.0864
0.3936 , 17.0103
0.3662 , 16.9469
0.3223 , 16.8071
0.2936 , 16.6799
0.2522 , 16.4509
0.2076 , 16.0943
0.1981 , 15.9924
0.1924 , 15.9159
0.1822 , 15.8140
0.1745 , 15.6865
0.1650 , 15.5846
0.1573 , 15.4444
0.1490 , 15.3170
0.1401 , 15.1895
0.1312 , 15.0238
0.1217 , 14.8709
0.1140 , 14.6924
0.1051 , 14.5140
0.0968 , 14.3100
0.0898 , 14.1188
0.0809 , 13.8893
0.0732 , 13.6725
0.0643 , 13.4175
0.0548 , 13.0605
0.0439 , 12.6653
0.0338 , 12.1934
0.0236 , 11.6579
0.0185 , 11.3901
0.0140 , 10.9437
0.0096 , 10.6759
0.0076 , 10.3443
