F2-94,
X,Y
0.9917 , 21.6302
0.9539 , 21.4691
0.9129 , 21.4363
0.8764 , 21.4037
0.8296 , 21.4190
0.7924 , 21.3542
0.7534 , 21.3215
0.7149 , 21.2567
0.6758 , 21.2239
0.6374 , 21.2073
0.5951 , 21.1103
0.5509 , 21.0775
0.5119 , 20.9967
0.4676 , 20.8836
0.4209 , 20.7866
0.3760 , 20.6254
0.3414 , 20.4484
0.3126 , 20.2714
0.2691 , 19.9016
0.2415 , 19.5803
0.1992 , 19.0019
0.1903 , 18.8413
0.1819 , 18.6647
0.1730 , 18.5362
0.1640 , 18.3435
0.1570 , 18.1829
0.1480 , 18.0062
0.1403 , 17.7654
0.1326 , 17.5888
0.1236 , 17.3479
0.1166 , 17.1071
0.1057 , 16.7860
0.0967 , 16.5131
0.0884 , 16.2402
0.0794 , 15.8870
0.0705 , 15.5499
0.0609 , 15.1326
0.0500 , 14.6670
0.0404 , 14.1534
0.0307 , 13.5916
0.0205 , 12.8694
0.0167 , 12.5645
0.0102 , 12.0027
0.0051 , 11.2485
0.0032 , 10.6226
0.0019 , 10.2536
0.0019 , 9.7240
-0.0006 , 9.0982
