60min,
X,Y
0.9930 , 444.7934
0.9863 , 431.4050
0.9625 , 422.4793
0.9382 , 415.0413
0.9126 , 408.3471
0.8882 , 402.3967
0.8620 , 395.7025
0.8377 , 390.4959
0.8127 , 384.5455
0.7871 , 379.3388
0.7627 , 374.8760
0.7390 , 370.4132
0.7140 , 365.2066
0.6884 , 360.7438
0.6628 , 356.2810
0.6391 , 351.8182
0.6135 , 346.6116
0.5885 , 343.6364
0.5642 , 338.4298
0.5374 , 334.7107
0.5142 , 331.7355
0.4893 , 327.2727
0.4643 , 323.5537
0.4375 , 319.8347
0.4143 , 316.1157
0.3875 , 311.6529
0.3632 , 308.6777
0.3388 , 306.4463
0.3138 , 301.9835
0.2877 , 297.5207
0.2639 , 295.2893
0.2383 , 292.3140
0.2140 , 289.3388
0.1884 , 285.6198
0.1634 , 281.1570
0.1378 , 277.4380
0.1135 , 273.7190
0.1037 , 272.9752
0.0921 , 270.7438
0.0824 , 268.5124
0.0727 , 266.2810
0.0629 , 264.0496
0.0526 , 261.8182
0.0422 , 258.8430
0.0379 , 257.3554
0.0282 , 252.8926
0.0105 , 235.7851
