80min,
X,Y
0.9955 , 496.8595
0.9833 , 480.4959
0.9607 , 470.8264
0.9358 , 466.3636
0.9108 , 461.9008
0.8852 , 456.6942
0.8615 , 452.2314
0.8365 , 447.7686
0.8115 , 442.5620
0.7865 , 438.8430
0.7610 , 434.3802
0.7360 , 429.1736
0.7110 , 424.7107
0.6873 , 419.5041
0.6617 , 414.2975
0.6367 , 409.8347
0.6117 , 404.6281
0.5874 , 399.4215
0.5600 , 394.9587
0.5265 , 389.7521
0.5131 , 388.2645
0.4875 , 383.8017
0.4625 , 380.0826
0.4375 , 377.1074
0.4126 , 374.1322
0.3882 , 370.4132
0.3626 , 366.6942
0.3376 , 362.9752
0.3127 , 359.2562
0.2871 , 355.5372
0.2609 , 351.0744
0.2365 , 348.0992
0.2116 , 343.6364
0.1872 , 339.9174
0.1616 , 336.1983
0.1373 , 330.9917
0.1123 , 326.5289
0.1019 , 324.2975
0.0928 , 322.0661
0.0830 , 321.3223
0.0721 , 316.8595
0.0617 , 314.6281
0.0514 , 310.9091
0.0422 , 307.9339
0.0355 , 304.2149
0.0246 , 297.5207
0.0105 , 279.6694
