120min,
X,Y
0.9950 , 638.9256
0.9834 , 617.3554
0.9590 , 595.7851
0.9346 , 588.3471
0.9096 , 578.6777
0.8847 , 572.7273
0.8603 , 566.0331
0.8359 , 560.0826
0.8110 , 555.6198
0.7842 , 548.9256
0.7568 , 544.4628
0.7367 , 539.2562
0.7123 , 534.7934
0.6867 , 530.3306
0.6617 , 525.1240
0.6374 , 522.1488
0.6112 , 517.6860
0.5874 , 513.2231
0.5619 , 508.7603
0.5369 , 505.0413
0.5113 , 499.8347
0.4869 , 496.8595
0.4620 , 491.6529
0.4370 , 487.1901
0.4126 , 483.4711
0.3870 , 479.7521
0.3621 , 475.2893
0.3371 , 470.8264
0.3115 , 467.1074
0.2872 , 462.6446
0.2610 , 458.1818
0.2378 , 452.9752
0.2122 , 448.5124
0.1873 , 442.5620
0.1611 , 439.5868
0.1355 , 431.4050
0.1130 , 425.4545
0.1026 , 423.2231
0.0935 , 419.5041
