10stC,
X,Y
0.9959 , 621.8028
0.9829 , 601.8490
0.9592 , 592.1418
0.9354 , 580.8166
0.9103 , 576.5023
0.8851 , 570.5701
0.8600 , 565.1772
0.8369 , 559.7843
0.8118 , 556.5485
0.7853 , 550.0770
0.7473 , 545.2234
0.7378 , 540.9091
0.7127 , 536.0555
0.6869 , 531.2018
0.6624 , 527.4268
0.6366 , 523.1125
0.6122 , 518.7982
0.5877 , 514.4838
0.5619 , 510.1695
0.5368 , 505.3159
0.5117 , 501.5408
0.4866 , 496.6872
0.4628 , 492.3729
0.4370 , 488.0586
0.4126 , 484.2835
0.3881 , 479.9692
0.3630 , 475.6549
0.3379 , 471.8798
0.3127 , 467.5655
0.2876 , 463.2512
0.2625 , 458.9368
0.2381 , 454.0832
0.2122 , 449.2296
0.1878 , 444.3760
0.1606 , 438.4438
0.1369 , 433.0508
0.1131 , 425.5008
0.1029 , 422.8043
0.0934 , 419.5686
0.0819 , 414.7149
0.0717 , 409.3220
0.0615 , 403.3898
0.0499 , 395.8398
0.0404 , 387.2111
0.0323 , 378.5824
0.0221 , 364.5609
0.0098 , 338.1356
0.0085 , 324.6533
0.0051 , 314.9461
0.0037 , 305.2388
