30stC,
X,Y
0.9958 , 565.1772
0.9842 , 544.1448
0.9611 , 530.6626
0.9353 , 517.7196
0.9054 , 504.7766
0.8878 , 497.7658
0.8627 , 488.5978
0.8369 , 484.2835
0.8124 , 478.8906
0.7873 , 473.4977
0.7622 , 468.6441
0.7370 , 463.7904
0.7119 , 458.3975
0.6868 , 453.5439
0.6623 , 447.6117
0.6372 , 443.8367
0.6121 , 438.9831
0.5877 , 433.5901
0.5632 , 428.7365
0.5374 , 423.8829
0.5130 , 419.5686
0.4878 , 414.7149
0.4620 , 409.8613
0.4376 , 405.5470
0.4125 , 401.2327
0.3887 , 395.8398
0.3643 , 391.5254
0.3378 , 386.6718
0.3127 , 381.8182
0.2875 , 376.9646
0.2631 , 372.6502
0.2380 , 367.7966
0.2115 , 362.9430
0.1870 , 358.0894
0.1619 , 353.2357
0.1375 , 347.8428
0.1144 , 341.9106
0.1042 , 339.7535
0.0947 , 337.0570
0.0886 , 335.9784
0.0730 , 330.5855
0.0628 , 327.3498
0.0512 , 323.0354
0.0431 , 317.1032
0.0363 , 314.4068
0.0261 , 306.8567
0.0098 , 287.4422
0.0057 , 279.3529
