160min,
X,Y
0.9949 , 540.7438
0.9833 , 526.6116
0.9492 , 519.1736
0.9260 , 513.9669
0.9011 , 510.2479
0.8755 , 506.5289
0.8523 , 502.0661
0.8274 , 500.5785
0.8012 , 496.1157
0.7774 , 493.8843
0.7506 , 490.9091
0.7269 , 487.1901
0.7031 , 484.2149
0.6775 , 481.9835
0.6526 , 480.4959
0.6270 , 478.2645
0.6014 , 475.2893
0.5771 , 473.0579
0.5515 , 470.8264
0.5265 , 468.5950
0.5015 , 466.3636
0.4766 , 464.1322
0.4522 , 461.1570
0.4272 , 459.6694
0.4016 , 454.4628
0.3767 , 452.2314
0.3517 , 449.2562
0.3273 , 446.2810
0.3018 , 443.3058
0.2774 , 440.3306
0.2512 , 436.6116
0.2275 , 434.3802
0.2007 , 430.6612
0.1763 , 429.1736
0.1513 , 424.7107
0.1263 , 419.5041
0.1020 , 414.2975
0.0526 , 400.1653
0.0417 , 392.7273
0.0222 , 380.0826
