100min,
X,Y
0.9845 , 518.4298
0.9602 , 511.7355
0.9364 , 505.7851
0.9120 , 500.5785
0.8865 , 496.1157
0.8621 , 490.9091
0.8365 , 484.9587
0.8115 , 479.7521
0.7878 , 474.5455
0.7622 , 469.3388
0.7366 , 465.6198
0.7129 , 461.1570
0.6879 , 458.1818
0.6629 , 454.4628
0.6373 , 451.4876
0.6130 , 447.0248
0.5880 , 442.5620
0.5624 , 438.8430
0.5381 , 435.1240
0.5131 , 431.4050
0.4887 , 426.9421
0.4625 , 423.9669
0.4369 , 420.9917
0.4095 , 415.7851
0.3882 , 408.3471
0.3632 , 405.3719
0.3377 , 402.3967
0.3127 , 399.4215
0.2877 , 395.7025
0.2628 , 392.7273
0.2384 , 389.7521
0.2122 , 386.0331
0.1884 , 383.0579
0.1629 , 380.0826
0.1379 , 375.6198
0.1141 , 370.4132
0.1044 , 371.1570
0.0940 , 368.1818
0.0739 , 363.7190
0.0624 , 360.0000
0.0538 , 356.2810
0.0435 , 352.5620
0.0362 , 350.3306
0.0258 , 342.1488
0.0094 , 319.8347
