140min,
X,Y
0.9938 , 809.2562
0.9841 , 759.4215
0.9597 , 742.3140
0.9359 , 731.1570
0.9122 , 720.7438
0.8884 , 711.8182
0.8622 , 702.1488
0.8379 , 695.4545
0.8123 , 688.0165
0.7885 , 682.0661
0.7623 , 675.3719
0.7380 , 668.6777
0.7118 , 663.4711
0.6880 , 658.2645
0.6624 , 652.3140
0.6375 , 647.8512
0.6125 , 641.9008
0.5869 , 636.6942
0.5632 , 631.4876
0.5364 , 626.2810
0.5120 , 621.0744
0.4882 , 614.3802
0.4639 , 609.9174
0.4383 , 605.4545
0.4133 , 601.7355
0.3883 , 597.2727
0.3628 , 592.8099
0.3378 , 588.3471
0.3128 , 585.3719
0.2872 , 580.9091
0.2635 , 575.7025
0.2379 , 571.2397
0.2123 , 566.7769
0.1886 , 563.0579
0.1636 , 557.1074
0.1380 , 551.9008
0.1130 , 545.9504
0.1015 , 542.9752
0.0935 , 540.0000
0.0838 , 537.0248
0.0716 , 531.8182
0.0613 , 526.6116
0.0515 , 519.9174
0.0418 , 510.2479
0.0332 , 502.0661
0.0229 , 485.7025
0.0100 , 450.0000
0.0052 , 436.6116
0.0039 , 420.9917
0.0015 , 407.6033
0.0015 , 391.2397
