PFA2-2,
X,Y
0.0097 , 92.5363
0.0229 , 96.7689
0.0357 , 98.1878
0.0468 , 100.3846
0.0599 , 101.7397
0.0711 , 102.7686
0.0847 , 103.5733
0.0960 , 104.8687
0.1081 , 105.3298
0.1203 , 105.7467
0.1325 , 106.3400
0.1447 , 106.7790
0.1569 , 106.9756
0.1690 , 107.5689
0.1812 , 107.6773
0.1934 , 108.4248
0.2056 , 108.5332
0.2178 , 108.3221
0.2292 , 108.3124
0.2394 , 108.8600
0.4027 , 111.3220
0.4149 , 111.6184
0.4271 , 111.3478
0.4392 , 111.6325
0.4514 , 111.7703
0.4636 , 111.9669
0.4758 , 111.9136
0.4880 , 111.9559
0.5002 , 111.9321
0.5123 , 112.1948
0.5245 , 112.2812
0.5359 , 112.0373
0.5489 , 112.4318
0.5611 , 112.4741
0.5732 , 112.5825
0.5851 , 112.5527
0.5976 , 112.5128
0.6098 , 112.9518
0.6220 , 112.9941
0.6337 , 112.6475
0.6463 , 113.0787
0.6585 , 113.0990
0.6707 , 113.1412
0.6829 , 113.3158
0.6951 , 113.2699
0.7072 , 113.3783
0.7194 , 113.3986
0.7315 , 113.2203
0.7438 , 113.7256
0.7560 , 113.7458
0.7682 , 113.7661
0.7803 , 114.0067
0.7925 , 113.8727
0.8047 , 113.9811
0.8169 , 114.2438
0.8295 , 113.7469
0.8412 , 114.3504
0.8534 , 114.3706
0.8656 , 114.4129
0.8778 , 114.5434
0.8900 , 114.4534
0.9021 , 114.4737
0.9143 , 114.4939
0.9265 , 114.6685
0.9387 , 114.6226
0.9509 , 114.5547
0.9631 , 114.5749
0.9752 , 115.0139
0.2540 , 109.1324
0.2753 , 109.8326
0.3246 , 110.2471
0.3398 , 110.9372
0.3748 , 110.9953
0.3892 , 110.6868
